"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"5001600US2703","Congressional District 3 (116th Congress), Minnesota","723994","5700"
"5001600US2704","Congressional District 4 (116th Congress), Minnesota","717766","3482"
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","718802","5722"
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","722715","4797"
"5001600US2707","Congressional District 7 (116th Congress), Minnesota","663069","3156"
"5001600US2708","Congressional District 8 (116th Congress), Minnesota","672274","1656"
"5001600US2801","Congressional District 1 (116th Congress), Mississippi","769595","2670"
"5001600US2802","Congressional District 2 (116th Congress), Mississippi","695797","5681"
"5001600US2803","Congressional District 3 (116th Congress), Mississippi","746155","6171"
"5001600US2804","Congressional District 4 (116th Congress), Mississippi","774983","1541"
"5001600US2901","Congressional District 1 (116th Congress), Missouri","728365","7576"
"5001600US2902","Congressional District 2 (116th Congress), Missouri","760689","12075"
"5001600US2903","Congressional District 3 (116th Congress), Missouri","793405","8955"
"5001600US2904","Congressional District 4 (116th Congress), Missouri","770500","4141"
"5001600US2905","Congressional District 5 (116th Congress), Missouri","771847","6564"
"5001600US2906","Congressional District 6 (116th Congress), Missouri","780002","6630"
"5001600US2907","Congressional District 7 (116th Congress), Missouri","783672","2891"
"5001600US2908","Congressional District 8 (116th Congress), Missouri","737972","5020"
"5001600US3000","Congressional District (at Large) (116th Congress), Montana","1062305","*****"
"5001600US3101","Congressional District 1 (116th Congress), Nebraska","653684","4846"
"5001600US3102","Congressional District 2 (116th Congress), Nebraska","673005","3128"
"5001600US3103","Congressional District 3 (116th Congress), Nebraska","602579","3666"
"5001600US3201","Congressional District 1 (116th Congress), Nevada","685427","17966"
"5001600US3202","Congressional District 2 (116th Congress), Nevada","729771","2947"
"5001600US3203","Congressional District 3 (116th Congress), Nevada","846761","15041"
"5001600US3204","Congressional District 4 (116th Congress), Nevada","772433","16009"
"5001600US3301","Congressional District 1 (116th Congress), New Hampshire","686820","5309"
"5001600US3302","Congressional District 2 (116th Congress), New Hampshire","669638","5309"
"5001600US3401","Congressional District 1 (116th Congress), New Jersey","731297","6231"
"5001600US3402","Congressional District 2 (116th Congress), New Jersey","703117","6391"
"5001600US3403","Congressional District 3 (116th Congress), New Jersey","742905","4922"
"5001600US3404","Congressional District 4 (116th Congress), New Jersey","748858","7391"
"5001600US3405","Congressional District 5 (116th Congress), New Jersey","730707","10489"
"5001600US3406","Congressional District 6 (116th Congress), New Jersey","730114","8567"
"5001600US3407","Congressional District 7 (116th Congress), New Jersey","730778","10633"
"5001600US3408","Congressional District 8 (116th Congress), New Jersey","764837","12592"
"5001600US3409","Congressional District 9 (116th Congress), New Jersey","765382","10934"
"5001600US3410","Congressional District 10 (116th Congress), New Jersey","759704","12592"
"5001600US3411","Congressional District 11 (116th Congress), New Jersey","744805","10897"
"5001600US3412","Congressional District 12 (116th Congress), New Jersey","756016","7657"
"5001600US3501","Congressional District 1 (116th Congress), New Mexico","697064","6962"
"5001600US3502","Congressional District 2 (116th Congress), New Mexico","700113","4803"
"5001600US3503","Congressional District 3 (116th Congress), New Mexico","698251","7202"
"5001600US3601","Congressional District 1 (116th Congress), New York","718726","4733"
"5001600US3602","Congressional District 2 (116th Congress), New York","709605","9596"
"5001600US3603","Congressional District 3 (116th Congress), New York","707576","9548"
"5001600US3604","Congressional District 4 (116th Congress), New York","729582","10656"
"5001600US3605","Congressional District 5 (116th Congress), New York","757972","19470"
"5001600US3606","Congressional District 6 (116th Congress), New York","734183","18479"
"5001600US3607","Congressional District 7 (116th Congress), New York","720811","18558"
"5001600US3608","Congressional District 8 (116th Congress), New York","791211","19332"
"5001600US3609","Congressional District 9 (116th Congress), New York","730957","15833"
"5001600US3610","Congressional District 10 (116th Congress), New York","711678","16485"
"5001600US3611","Congressional District 11 (116th Congress), New York","732886","12122"
"5001600US3612","Congressional District 12 (116th Congress), New York","698928","17290"
"5001600US3613","Congressional District 13 (116th Congress), New York","795633","19089"
"5001600US3614","Congressional District 14 (116th Congress), New York","706440","18824"
"5001600US3615","Congressional District 15 (116th Congress), New York","743959","17471"
"5001600US3616","Congressional District 16 (116th Congress), New York","732981","13275"
"5001600US3617","Congressional District 17 (116th Congress), New York","741445","4863"
"5001600US3618","Congressional District 18 (116th Congress), New York","722226","5836"
"5001600US3619","Congressional District 19 (116th Congress), New York","700310","5135"
"5001600US3620","Congressional District 20 (116th Congress), New York","722529","5179"
"5001600US3621","Congressional District 21 (116th Congress), New York","701112","3853"
"5001600US3622","Congressional District 22 (116th Congress), New York","697372","4021"
"5001600US3623","Congressional District 23 (116th Congress), New York","693764","4130"
"5001600US3624","Congressional District 24 (116th Congress), New York","701664","3167"
"5001600US3625","Congressional District 25 (116th Congress), New York","718565","2469"
"5001600US3626","Congressional District 26 (116th Congress), New York","707190","4282"
"5001600US3627","Congressional District 27 (116th Congress), New York","712904","6119"
"5001600US3701","Congressional District 1 (116th Congress), North Carolina","761087","7524"
"5001600US3702","Congressional District 2 (116th Congress), North Carolina","858938","11374"
"5001600US3703","Congressional District 3 (116th Congress), North Carolina","756375","5217"
"5001600US3704","Congressional District 4 (116th Congress), North Carolina","871589","9355"
"5001600US3705","Congressional District 5 (116th Congress), North Carolina","762960","2559"
"5001600US3706","Congressional District 6 (116th Congress), North Carolina","772716","8848"
"5001600US3707","Congressional District 7 (116th Congress), North Carolina","809820","7175"
"5001600US3708","Congressional District 8 (116th Congress), North Carolina","797935","6162"
"5001600US3709","Congressional District 9 (116th Congress), North Carolina","792434","9897"
"5001600US3710","Congressional District 10 (116th Congress), North Carolina","762919","6106"
"5001600US3711","Congressional District 11 (116th Congress), North Carolina","768166","5505"
"5001600US3712","Congressional District 12 (116th Congress), North Carolina","880550","8332"
"5001600US3713","Congressional District 13 (116th Congress), North Carolina","788131","9589"
"5001600US3800","Congressional District (at Large) (116th Congress), North Dakota","760077","*****"
"5001600US3901","Congressional District 1 (116th Congress), Ohio","740979","7053"
"5001600US3902","Congressional District 2 (116th Congress), Ohio","734712","8438"
"5001600US3903","Congressional District 3 (116th Congress), Ohio","812264","10897"
"5001600US3904","Congressional District 4 (116th Congress), Ohio","707219","5766"
"5001600US3905","Congressional District 5 (116th Congress), Ohio","717088","6416"
